1149	230	362
1150	230	366
1151	230	384
1152	230	406
1153	231	198
1154	231	212
1155	231	224
1156	231	240
1157	231	349
1158	231	354
1159	231	372
1160	231	385
1161	231	399
1162	231	401
1163	232	187
1164	232	213
1165	232	226
1166	232	228
1167	232	239
1168	232	245
1169	232	247
1170	232	322
1171	232	350
1172	232	373
1173	232	375
1174	232	378
1175	232	404
1176	233	189
1177	233	202
1178	233	209
1179	233	218
1180	233	228
1181	233	239
1182	233	241
1183	233	338
1184	233	357
1185	233	358
1186	233	376
1187	233	379
1188	233	403
1189	234	203
1190	234	207
1191	234	221
1192	234	223
1193	234	225
1194	234	243
1195	234	333
1196	234	383
1197	234	412
1198	235	184
1199	235	208
1200	235	228
1201	235	240
1202	235	241
1203	235	245
1204	235	344
1205	235	368
1206	235	371
1207	235	386
1208	235	391
1209	236	186
1210	236	219
1211	236	241
1212	236	244
1213	236	313
1214	236	367
1215	236	380
1216	236	400
1217	237	202
1218	237	216
1219	237	240
1220	237	242
1221	237	326
1222	237	347
1223	237	361
1224	237	377
1225	237	397
1226	237	405
1227	238	193
1228	238	205
1229	238	222
1230	238	225
1231	238	245
1232	238	335
1233	238	346
1234	238	369
1235	238	382
1236	238	389
1237	239	197
1238	239	221
1239	239	226
1240	239	232
1241	239	233
1242	239	248
1243	239	357
1244	239	373
1245	239	378
1246	239	379
1247	239	398
1248	239	415
1249	240	198
1250	240	224
1251	240	228
1252	240	230
1253	240	231
1254	240	235
1255	240	237
1256	240	247
1257	240	384
1258	240	391
1259	240	397
1260	240	399
1261	240	405
1262	240	406
1263	241	196
1264	241	223
1265	241	233
1266	241	235
1267	241	236
1268	241	368
1269	241	380
1270	241	390
1271	241	403
1272	242	199
1273	242	220
1274	242	226
1275	242	237
1276	242	247
1277	242	248
1278	242	347
1279	242	393
1280	242	394
1281	242	411
1282	242	417
1283	243	217
1284	243	220
1285	243	221
1286	243	227
1287	243	234
1288	243	246
1289	243	248
1290	243	356
1291	243	359
1292	243	381
1293	243	383
1294	243	396
1295	243	416
1296	244	227
1297	244	229
1298	244	230
1299	244	236
1300	244	248
1301	244	366
1302	244	374
1303	244	387
1304	244	400
1305	244	410
1306	244	414
1307	245	193
1308	245	225
1309	245	232
1310	245	235
1311	245	238
1312	245	247
1313	245	371
1314	245	386
1315	245	389
1316	245	392
1317	245	404
1318	246	217
1319	246	229
1320	246	243
1321	246	248
1322	246	395
1323	246	402
1324	246	407
1325	246	408
1326	246	416
1327	247	214
1328	247	230
1329	247	232
1330	247	240
1331	247	242
1332	247	245
1333	247	248
1334	247	384
1335	247	404
1336	247	406
1337	247	409
1338	247	411
1339	247	417
1340	248	217
1341	248	239
1342	248	242
1343	248	243
1344	248	244
1345	248	246
